iter	Passed	Remaining
756	1784	572
757	1787	570
758	1790	568
759	1793	566
760	1796	564
761	1799	561
762	1801	559
763	1804	557
764	1808	555
765	1811	553
766	1813	551
767	1816	548
768	1821	547
769	1825	545
770	1827	542
771	1829	540
772	1831	537
773	1833	535
774	1836	533
775	1839	530
776	1843	528
777	1846	526
778	1849	524
779	1853	522
780	1855	520
781	1859	518
782	1862	516
783	1866	514
784	1869	511
785	1872	509
786	1876	507
787	1878	505
788	1882	503
789	1885	501
790	1889	499
791	1891	496
792	1894	494
793	1898	492
794	1901	490
795	1906	488
796	1909	486
797	1912	484
798	1916	482
799	1919	479
800	1923	477
801	1927	475
802	1931	473
803	1933	471
804	1937	469
805	1940	467
806	1944	465
807	1947	462
808	1950	460
809	1955	458
810	1958	456
811	1960	453
812	1963	451
813	1967	449
814	1970	447
815	1972	444
816	1978	443
817	1980	440
818	1982	438
819	1984	435
820	1991	434
821	1997	432
822	2002	430
823	2006	428
824	2010	426
825	2016	424
826	2019	422
827	2023	420
828	2028	418
829	2032	416
830	2036	414
831	2039	411
832	2043	409
833	2047	407
834	2051	405
835	2054	403
836	2059	401
837	2062	398
838	2067	396
839	2070	394
840	2074	392
841	2077	389
842	2079	387
843	2081	384
844	2083	382
845	2086	379
846	2089	377
847	2091	374
848	2098	373
849	2106	371
850	2116	370
851	2126	369
852	2134	367
853	2146	366
854	2179	369
855	2185	367
856	2189	365
857	2193	362
858	2210	362
859	2216	360
860	2223	358
861	2228	356
862	2231	354
863	2233	351
864	2235	348
865	2238	346
866	2240	343
867	2243	341
868	2247	338
869	2252	336
870	2257	334
871	2261	331
872	2266	329
873	2270	327
874	2273	324
875	2275	322
876	2278	319
877	2280	316
878	2282	314
879	2284	311
880	2286	308
881	2287	306
882	2289	303
883	2292	300
884	2296	298
885	2302	296
886	2305	293
887	2308	291
888	2311	288
889	2314	286
890	2318	283
891	2321	281
892	2325	278
893	2329	276
894	2332	273
895	2335	271
896	2339	268
897	2344	266
898	2346	263
899	2349	261
900	2352	258
901	2355	255
902	2357	253
903	2361	250
904	2366	248
905	2370	245
906	2373	243
907	2381	241
908	2385	238
909	2387	236
910	2391	233
911	2395	231
912	2398	228
913	2400	225
914	2403	223
915	2408	220
916	2410	218
917	2412	215
918	2415	212
919	2417	210
920	2421	207
921	2426	205
922	2430	202
923	2432	200
924	2435	197
925	2439	194
926	2443	192
927	2446	189
928	2448	187
929	2450	184
930	2453	181
931	2456	179
932	2461	176
933	2463	174
934	2466	171
935	2470	168
936	2473	166
937	2477	163
938	2480	161
939	2484	158
940	2488	156
941	2492	153
942	2494	150
943	2496	148
944	2499	145
945	2501	142
946	2505	140
947	2509	137
948	2512	135
949	2515	132
950	2520	129
951	2522	127
952	2524	124
953	2527	121
954	2530	119
955	2533	116
956	2536	113
957	2539	111
958	2542	108
959	2545	106
960	2548	103
961	2553	100
962	2557	98
963	2560	95
964	2563	92
965	2566	90
966	2569	87
967	2572	85
968	2574	82
969	2577	79
970	2579	77
971	2581	74
972	2585	71
973	2590	69
974	2593	66
975	2595	63
976	2597	61
977	2599	58
978	2601	55
979	2603	53
980	2605	50
981	2608	47
982	2611	45
983	2614	42
984	2616	39
985	2619	37
986	2621	34
987	2624	31
988	2627	29
989	2631	26
990	2636	23
991	2639	21
992	2641	18
993	2643	15
994	2645	13
995	2647	10
996	2650	7
997	2652	5
998	2654	2
999	2657	0
